objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Gwent: Nilfgaard and Northern Realms","209530","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","90799819","5.7569","6.89887","1.6471","5120","1629","thing","Gwent: Nilfgaard and Northern Realms","2","2","30","30","5","2016","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Hanabi","98778","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828960","6.92757","7.03395","1.6898","571","86691","thing","Hanabi","2","5","25","25","25","2013","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2013","Polish edition"
"Inside Job","324914","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132942450","6.21176","7.03907","1.5714","2096","4144","thing","Inside Job","2","5","30","30","20","2022","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Jungle Speed","8098","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","104566177","6.25068","6.45736","1.1299","1945","23231","thing","Jungle Speed","2","10","10","10","10","2020","3,4,5,6,7,8,10","5,6","6+","No necessary in-game text","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2020","Polish ""eco pack"" edition"
"Kartografowie","263918","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90715862","7.40301","7.57037","1.8699","169","57885","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8,9","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Ogry Games","Polish","2019","Polish edition"
"Karty Dżentelmenów: Epizod Czwarty","309708","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828932","5.50518","6.07097","1","22698","113","thing","Karty Dżentelmenów: Epizod Czwarty","3","15","30","30","20","2017","","","","","","","","","","standalone","","","","",""
"Karty Dżentelmenów: Epizod Szósty","335859","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828927","0","6.52381","0","0","74","thing","Karty Dżentelmenów: Epizod Szósty","3","15","0","0","0","2019","","","","","","","","","","standalone","","","","",""
"Kłamcianka Towarzyska","163279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90829002","5.48243","4.23333","2","26838","99","thing","Kłamcianka Towarzyska","3","7","0","0","0","2014","3,4,5,6,7","4,5","","","","","","","","standalone","","","","",""
"List miłosny (Edycja Premium)","277085","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","108668375","7.15727","7.51004","1.1148","329","26388","thing","Love Letter","2","6","20","20","20","2019","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2019","Polish edition"
"Monolith Arena","238393","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828748","6.14979","7.29873","2.3846","2336","2940","thing","Monolith Arena","2","4","45","45","30","2018","2","2","10+","No necessary in-game text","","","","","","standalone","","Portal Games","English; Polish","2018","English/Polish edition"
"Monopoly: Game of Thrones Collector's Edition","185104","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","90828884","5.46846","5.51626","1.2222","27654","2085","thing","Monopoly: Game of Thrones Collector's Edition","2","6","180","180","60","2015","4,5","4","6+","","","","","","","standalone","","","","",""
"Munchkin","1927","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","108666374","5.69156","5.87333","1.8141","6186","98528","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Mur Hadriana","304783","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110154719","7.42012","7.91052","3.1721","159","16295","thing","Hadrian's Wall","1","6","60","60","30","2021","1,2,3","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Garphill Games; Portal Games","Polish","2021","Polish edition"
"Na skrzydłach","266192","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828759","7.86484","8.0162","2.4717","33","165177","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2019","Polish edition"
"Owocowe opowieści","203427","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110154977","6.58489","6.9844","1.6043","1087","9505","thing","Fabled Fruit","2","5","30","30","20","2017","3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Lacerta","Polish","2017","Polish edition"
"Palce w Pralce","37728","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98429696","5.77663","6.26207","1.0595","4880","2867","thing","Rock the Beat","4","12","30","30","30","2016","4,5,6,7,8,9,10,11,12","8,9,10","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2016","Polish second edition"
"Pandemic Legacy: Sezon 1","161936","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98429651","8.36002","8.51333","2.829","2","87013","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Lacerta; Z-Man Games","Polish","2015","Polish blue edition"
"Power Grid: Australia & Indian Subcontinent","147580","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100051553","6.14209","7.92491","3.0588","0","4138","thing","Power Grid: Australia & Indian Subcontinent","2","6","120","120","120","2013","3,4,5,6","5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: Brazil/Spain & Portugal","58708","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100051539","6.52784","7.87296","2.9732","0","6768","thing","Power Grid: Brazil/Spain & Portugal","2","6","120","120","120","2009","2,3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: China/Korea","37397","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90799749","6.9185","8.0027","3.2644","0","8910","thing","Power Grid: China/Korea","2","6","120","120","120","2008","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: Europe/North America","344428","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100051635","5.58866","8.15","3","0","825","thing","Power Grid: Europe/North America","2","6","120","120","120","2021","3,4,5,6","4,5","12+","","","","","","","expansion","","","","",""
"Power Grid: France/Italy","19319","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828837","6.91315","7.90815","3.2906","0","9080","thing","Power Grid: France/Italy","2","6","120","120","120","2005","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: Middle East/South Africa","285448","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100051615","5.72861","7.94004","3","0","1583","thing","Power Grid: Middle East/South Africa","2","6","120","120","120","2019","4,5,6","5","","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: Northern Europe/United Kingdom & Ireland","131184","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100051552","6.28328","7.88118","3","0","4994","thing","Power Grid: Northern Europe/United Kingdom & Ireland","2","6","120","120","120","2012","2,4,5,6","4","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: Québec/Baden-Württemberg","123122","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100051582","6.01722","7.80638","3.1212","0","3508","thing","Power Grid: Québec/Baden-Württemberg","2","6","120","120","120","2012","3,4,5,6","5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: Russia & Japan","78727","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90799745","6.493","7.88626","3.0824","0","6333","thing","Power Grid: Russia & Japan","2","6","120","120","120","2010","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: The New Power Plants – Set 1","29416","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100051534","6.91301","7.79647","2.9753","0","11967","thing","Power Grid: The New Power Plants – Set 1","2","6","120","120","120","2007","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Power Grid: The New Power Plants – Set 2","344429","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828818","5.62186","7.86903","3","0","1333","thing","Power Grid: The New Power Plants – Set 2","2","6","120","120","120","2021","4,5,6","5","","No necessary in-game text","","","","","","expansion","","","","",""
"Pytania od czapy","301367","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98505222","0","4.875","1","0","20","thing","Shitty Questions","3","8","30","30","30","2020","4,5","4,5","14+","","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2020","Polish edition"
"Race for the Galaxy","28143","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","90828784","7.62345","7.74081","2.9911","87","72108","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Resistance","41114","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","108666338","7.05502","7.20059","1.5907","430","67485","thing","The Resistance","5","10","30","30","30","2009","5,6,7,8,9,10","7","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Revive","332772","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113594128","7.60651","8.09929","3.4433","91","15912","thing","Revive","1","4","120","120","90","2023","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Aporta Games; Rebel Sp. z o.o.","Polish","2023","Polish edition"
"Rising Sun","205896","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","98429679","7.45782","7.75993","3.2997","147","28586","thing","Rising Sun","3","5","120","120","90","2018","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","CMON Global Limited; Guillotine Games; Portal Games","Polish","2018","Polish edition"
"Robinson Crusoe: Przygoda na przeklętej wyspie","121921","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","98429757","7.55576","7.731","3.8252","111","73460","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2019","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Portal Games","Polish","2019","Polish fourth edition"
"Root","237182","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","103382927","7.88462","8.07084","3.8263","30","91842","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Rummikub","811","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828874","6.31508","6.50096","1.7115","1731","45223","thing","Rummikub","2","4","60","60","60","1977","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Rzuć na Tacę","244522","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828949","7.37078","7.56112","1.8599","196","43531","thing","That's Pretty Clever!","1","4","30","30","30","2019","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","G3","Polish","2019","Polish edition"
"Sabotażysta","9220","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90829082","6.41753","6.5425","1.3187","1475","62690","thing","Saboteur","3","10","30","30","30","2004","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Sabotażysta: rozszerzenie","91072","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90829100","6.46143","6.93552","1.5411","0","17417","thing","Saboteur 2 (expansion-only editions)","2","12","45","45","45","2011","4,5,6,7,8,9,10","5,6,7,8","8+","No necessary in-game text","","","","","","expansion","","G3","Polish","2011","Polish edition"
"SCOUT","291453","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110154309","7.58237","7.81496","1.3704","101","44617","thing","SCOUT","2","5","20","20","20","2019","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Scrabble","320","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","90828843","6.14779","6.27097","2.0603","2343","67756","thing","Scrabble","2","4","90","90","90","1948","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Siedem","172662","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90829159","5.62465","6.12632","1.5","7882","1324","thing","Seven7s","2","4","20","20","20","2015","2,3,4","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Splendor","148228","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98429670","7.29264","7.41793","1.7772","236","129686","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2014","Polish edition"
"Tajniacy","178900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828772","7.43775","7.53332","1.257","156","168563","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","Czech Games Edition; Rebel Sp. z o.o.","Polish","2015","Polish edition"
"Takie Życie 3: Tajemnice","154010","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828999","5.50221","5.78","1","23503","139","thing","MindMaze: Verzwickte Rätsel – Kriminalfälle","2","99","30","30","10","2014","","","","","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2014","Polish edition"
"Terraformacja Marsa","167791","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","90715876","8.19901","8.34816","3.2664","7","150061","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Terraformacja Marsa: Hellas i Elysium","218127","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","132850321","7.86354","8.37888","2.7882","0","38948","thing","Terraforming Mars: Hellas & Elysium","1","5","120","120","90","2017","1,2,3,4,5","3","12+","No necessary in-game text","","","","","","expansion","","FryxGames; Rebel Sp. z o.o.","Polish","2017","Polish edition"
"Terraformacja Marsa: Preludium","247030","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","132778674","8.41061","8.8463","2.5487","0","50148","thing","Terraforming Mars: Prelude","1","5","120","120","90","2018","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","FryxGames; Rebel Sp. z o.o.","Polish","2018","Polish edition"
"Terraformacja Marsa: Preludium 2","387809","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","133156665","6.25203","8.31582","2.4444","0","6711","thing","Terraforming Mars: Prelude 2","1","5","120","120","90","2024","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","FryxGames; Rebel Sp. z o.o.","Polish","2024","Polish edition"
"Tiletum","351913","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","106092336","7.19052","7.86823","3.4048","301","9485","thing","Tiletum","1","4","100","100","60","2022","1,2,3","2,3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Timeline","128664","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","95690202","6.02575","6.49893","1.1364","2900","4191","thing","Timeline","2","8","15","15","15","2012","2,3,4,5,6,7,8","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Turing Machine","356123","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112607203","7.17151","7.63954","2.4976","321","17136","thing","Turing Machine","1","4","20","20","20","2022","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
